product_name,comment
SAMSUNG Unlocked Smartphone Intuitive Warranty,"This is a 1-year review (purchased 2021).For what it is, it's just the normal flagship galaxy that folds and has a notification screen in the front. For that, its a great phone. But the technology is too new and i have no idea how the screen will fair in the future.I haven't experienced any problems with the screen itself yet, but the protector, which they say specifically not to touch, broke after about a month, just from folding the phone. It left a huge scratch line across the fold itself. I thought the screen itself was ruined until I took it off. Do yourself a favor and remove the protector, no protector can handle being folded as many times as you'll fold it, trust me.Photos are great, screen is great. ..I mean it's literally a galaxy that folds.. so just keep that in mind. It's worth noting I literally bought this phone as a joke because I thought it would be funny to have a flip phone and all my friends making fun of me, but it's been quite the opposite. Everyone wants to screw around with your phone and thinks it's cool, lol.Until this screen proves itself, I don't recommend it to anyone who can only afford a phone every few years. If you want it just for fun and don't care about what could go wrong in the future like myself, go ahead and buy it, I enjoy it."
SAMSUNG Unlocked Smartphone Intuitive Warranty,"So far, I've been impressed with the durability (looks as good as it did when I got it 3 months ago)."
SAMSUNG Unlocked Smartphone Intuitive Warranty,"Completely stopped working. I wouldn't suggest buying any fold or flip products for years. There technology is not ready and everyone I know including myself has had the same problems and get stuck with a useless phone. Such as waste of money. I even tried to send it in to be fix the bill was $400, $300 was just to get it fixed. We asked for it to be sent back to use and we found it working even less"
SAMSUNG Unlocked Smartphone Intuitive Warranty,"Hay que destacar primero que es un teléfono de muy alta calidad en cuanto a especificaciones y a la estética del dispositivo en su construcción, así como Samsung ya nos tiene acostumbrados.Pero sin embargo tiene dos puntos en los cuales me decepcionó mucho y me decanté por venderlo a las 2 semanas de haberlo comprado, y estos son:La batería: Realmente es una vergüenza que Samsung nos traiga un dispositivo que dure tan poquito en cuanto a la batería. Realmente no llegaba a la noche nunca, lo tenía que cargar incluso más de una vez durante el día. Y si comenzamos a ver videos de TikTok o algo similar… olvídalo.El sistema plegable: Esto quizás es algo propio mio y al mismo tiempo algo que ya era lógico. pero que realmente me molesto siempre. Me resulta muy molesto tener que leer una notificación en este teléfono. El hecho de que cuando te llegue una notificación tengas que tocar dos veces la pantalla pequeña o tocar el botón de desbloqueo, y luego deslizar hacia la izquierda es súper súper molesto. Y esa fue otra de las principales razones por las cuales lo terminé vendiendo y volviendo a iPhone."
SAMSUNG Unlocked Smartphone Intuitive Warranty,"Para aquellos que formamos parte de la generación X los teléfonos celulares plegables, no son una novedad, Motorola nos inundó un mercado de teléfonos plegables llegando a ser ""lo mas buscado"" en nuestra juventud. Con la llegada de los Smart Phones los teléfonos plegables pasaron a ser un ""dinosaurio"" casi extinto, pues Samsung se encargo de resucitarlos al combinar la ""inteligencia"" de los celulares de hoy con la comodidad de hacerlo plegable ya con su generación numero 4 en el mercado sin duda el teléfono es lo mejor de los dos mundos, cabe en un bolsillo sin comprometer nuestra comodidad y elegancia, y a su vez lleva toda la potencia (gracias a su procesador Smartdragon) necesaria para manejar al App mas comunes y demandantes de recursos de nuestros dias. El único punto negativo de FLIP 3 es la corta duración de su batería, problema ya resuelto en el FLIP 4. Si la idea es salir del entorno iOS (iPhone) el Samsung Flip es una excelente elección"
SAMSUNG Unlocked Smartphone Intuitive Warranty,GLAD there's better alternatives to iphones
SAMSUNG Unlocked Smartphone Intuitive Warranty,Don’t like anything about phone. Any $900 phone should last for more than 3 weeks!
SAMSUNG Unlocked Smartphone Intuitive Warranty,"I like it a lot, but the battery life is killer."
SAMSUNG Unlocked Smartphone Intuitive Warranty,"I love this phone, but the two problems I have with it are battery life and durability. I use the phone for just a short time, and I need to put it on the charger. Samsung's next flip needs to have a longer battery life, also it is not very durable. I dropped the phone on floor that had a rug and now there is a crack where the fold is and now when I open and close the phone I hear a cracking sound, but the phone seems to be working properly. I know I could probably get it fixed but it would probably cost as much as the phone"
SAMSUNG Unlocked Smartphone Intuitive Warranty,No me agrado q no venían los audífonos q supuestamente estaban incluidos en el pedido del teléfono....eso se llama fraude😠😠😠😠
SAMSUNG Unlocked Smartphone Intuitive Warranty,"Purchased October 2021 and screen began to lift and ""crackling"" noise when closing at month 9. I will never buy a flip phone again."
SAMSUNG Unlocked Smartphone Intuitive Warranty,"I believe this design is the future. Big phones becoming fold-able will keep them conveniently usable. The battery does drain more than say the S21+ but not of concern to light or medium user. I consider myself a light user and so battery life is not significant to me. I assume at some point in the future they will make the front screen larger (when folded). Otherwise, except for battery that could be an issue for some, the phone looks good and performs good. Of course, the phone is easy to carry in pocket or purse."
SAMSUNG Unlocked Smartphone Intuitive Warranty,"The media could not be loaded.
                



 Muy bonito"
SAMSUNG Unlocked Smartphone Intuitive Warranty,"Beware!  Does not come with everything that is listed in the What's in the Box list!The What's in the Box portion of the description reads:Handset + ClingSTD BatteryTravel AdapterData CableAKG HeadsetIt did NOT come with a travel adapter or AKG Headset.  When looking other places, I saw where the phone normally doesn't come with those either.  But I thought maybe I was getting a bundle.  Please change your description to the correct information as to not give false information to paying customers."
SAMSUNG Unlocked Smartphone Intuitive Warranty,"I was a little nervous about the durability of this phone, but so far I'm very glad that I bought it."
SAMSUNG Unlocked Smartphone Intuitive Warranty,"It is just ""PRETTY"" trash"
SAMSUNG Unlocked Smartphone Intuitive Warranty,🥰😍🥰🥰🥰😍
