product_name,comment
Samsung Electronics Unlocked Smartphone Foldable,"I've been a Samsung phone owner for the last 14 years, ever since I got my first Galaxy Note (the very original one, can you believe it's been so long?). I've owned most of the Note line, a couple of the S line (S 8, S10+) and finally went back to the Note 10+, then to this one in December of last year.Let me say that my experience with most of the Galaxy S line of phones was pretty great. I loved having the pen option (this one includes it separately which is really stupid given the price of the phone, more on this later) and I loved having a large screen to read on. I primarily use my phone for reading, either ebooks (which is great on this device) or just scrolling through news articles. A bigger screen makes seeing all of the text much easier. It was with this in mind that I jumped over to getting my first folding phone, this one.The larger screen size when you open it up really is something special, especially with all of the new multitasking features that they recently brought to this phone. I don't use them that much, but it is nice to say, look at something and take notes at the same time and take advantage of that large real estate. Where it really matters though is for reading. I used to have a Kindle that I used as my primary reading device, but I switched over to this because the interior screen size is basically the same. It also has much better brightness controls than my 2018 Oasis, which gives of a very irritating blueish tone even with warmth set up all the way. There is no problem with that on this device since the AMOLED panel is full of self-emissive pixels and has no backlight. Samsung's screens have always been amazing, and this device certainly shows it off well.The actual fit and finish of the device are nice. I got the silver version which for some reason is called a business model (whatever) which has a slightly reflective finish to it reminiscent of the flashy white background my Note10+ had, but with a much softer, matte frosted glass look. The aluminum has withstood the daily abuse of phone ownership well, and the hinge has done a pretty good job. It's been scuffed up quite a bit unfortunately, and this has been from a variety of sources. The main problem appears to be just stuff in your pocket. Unless you have a case that covers the hinge VERY WELL and sometimes even if you do, sand and sharp pieces of dust can sometimes get stuck in the hinge leaving small scratch marks. It tends to collect scratches and dents, despite being a chunky stainless steel. For the price, it's good, I like the look of the phone.Battery life has always been a sore point for these phones because all that screen requires a lot of juice to stay lit up and you will be using it a lot. I've found myself needing to keep a charger nearby which hasn't been too bad working from home but you'll probably want to carry a power bank with you for longer trips. This guy uses battery up quick.Software is much improved over the years. OneUI, formerly TouchWiz, used to get such a bad rap from reviewers and I never really knew why. People thought it was bloated and clunky, and I never really got it. I think this new version is great, the settings are good, and Samsung's customizations are much improved!Now onto why I gave this guy such a crappy rating; the problems. For a third-generation product I expected Samsung had ironed out most of the kinks that people complained about in the first two generations. I unfortunately was wrong. I've had two major issues since I took ownership of this device almost a year ago. Fortunately, Samsung has a very generous warranty redemption policy and has fixed both issues (the first time they even provided me a free, but crappy, leather phone case) with very quick one-day shipping. I do love these policies and they are wonderful. But for a phone this expensive I was planning on keeping it for a few years, and I'm not sure I will be able to.The first issue happened about 6 months into ownership and was over the summer. I had bought a Spigen cover for it to make sure the phone was kept in a tight, very-well protected cover and never dropped it. In spite of this, the device was afflicted by a very weird issue where the front screen would not turn on at all. The middle screen would still open, but sometimes the entire device would crash when I attempted to use the front screen. Obviously a big selling point of the phone is having multiple screens to work with, so I sent it in for repair which Samsung fortunately did. A major problem that fortunately hasn't returned, although we'll see about the long term.The second issue proved just as infuriating. Before I sent this device in for repair I made mention that I was having issues with the Wi-fi in the hopes it would be repaired. It wasn't, because after it came back from being serviced it got slowly worse to the point where attempting to turn on the wifi in the settings app crashed the settings app and required a restart for it to be reopened. A quick search online has resulted in many other people complaining about similar issues with their phones, so Samsung appears to have a design flaw baked into the device causing the issue. Having wifi on a phone like this is obviously essential so as not to waste data, and to connect the device to the IOT devices in my home---a functionality that I was completely without. I sent this into Samsung for repair again and they actually sent me back a brand new device---I guess evidence that whatever the problem was, it was not something they could easily replace in the device. Hopefully this new one lasts me longer than the last!To cap this all off, and give a recommendation. Would I recommend this phone? If you can get it for a great discount, sure. It would be more worth it not paying full price. If you're paying full price, I'd say make sure to get an extended warranty because you will probably use it with this device once Samsung's protection wears off it."
Samsung Electronics Unlocked Smartphone Foldable,"I was leary of grabbing this because i am in Japan. However, someday ill move back to the states and got tired of Japanese phones (most of the apps are in Japanese, making it hard to troubleshoot problems). Happy it works."
Samsung Electronics Unlocked Smartphone Foldable,"Thanks for the Excellent Delivery in love with the product suit all my need for multitasking and working, I check."
Samsung Electronics Unlocked Smartphone Foldable,"Love the size, capabilities and effects! I got this phone for my husband birthday and he loves it."
Samsung Electronics Unlocked Smartphone Foldable,All the reviews are from excited box openers. Go look on the Samsung website at the hundreds of complaints about the crack developing in the fold line. Samsung are refusing to fix them under the warranty telling everyone the damage is user abuse. You should then consider every  fold sold should still be under warranty as I type. They want $520 to replace the screen. I can’t tell you how important it is to research before you buy.
Samsung Electronics Unlocked Smartphone Foldable,"I would 100% not recommend this phone it stops working after so long and to fix it cost in labor is $300 its self not including parts. The fold is the same way. Would not recommend getting any fold phones for a few years, till they can make them better"
Samsung Electronics Unlocked Smartphone Foldable,"At first phone felt awkward because it is heavy and think. The front screen more narrow then normal phone. But using it for couple days I became used to it. Great for when I'm on the road and my tablet or my laptop isn't available. On down time while waiting for the wife, I can kill time with watching videos or playing games."
Samsung Electronics Unlocked Smartphone Foldable,I love my phone it works for all my needs
Samsung Electronics Unlocked Smartphone Foldable,Only thing that was an issue was the inner screen protector immediately started to peel away near the center so I just removed it
Samsung Electronics Unlocked Smartphone Foldable,I  use this phone for every thing I like the  double  face.
